"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "Python", "CSS", "Properties", "XML", "comment", "blank", "total"
"c:\Users\USER\Desktop\DRON\monitoreo-drones\.env", "Properties", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\USER\Desktop\DRON\monitoreo-drones\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USER\Desktop\DRON\monitoreo-drones\package-lock.json", "JSON", 0, 0, 2033, 0, 0, 0, 0, 0, 0, 1, 2034
"c:\Users\USER\Desktop\DRON\monitoreo-drones\package.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\app.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 9, 33
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\config\config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\config\db.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\controllers\authController.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 15, 20, 139
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\controllers\controllers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 5, 19
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\controllers\rolController.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\controllers\usuarioController.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 2, 15, 102
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\database\conexiones.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\middlewares\authMiddleware.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\middlewares\isAdmin.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\models\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 9, 24
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\models\rol.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\models\usuario.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 1, 4, 44
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\public\admin.html", "HTML", 0, 0, 0, 199, 0, 0, 0, 0, 2, 27, 228
"c:\Users\USER\Desktop\DRON\monitoreo-drones\src\public\admin.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 7, 14, 121
